# frame +z -z 
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 1
10 0 2
11 0 2
12 0 6
13 0 7
14 0 9
15 0 15
16 0 16
17 0 17
18 0 19
19 0 22
20 0 25
21 0 27
22 0 30
23 0 34
24 0 36
25 0 40
26 0 44
27 0 46
28 0 48
29 0 49
30 0 52
31 0 56
32 0 60
33 0 63
34 0 65
35 0 66
36 0 68
37 0 71
38 0 76
39 0 78
40 0 81
41 0 83
42 0 85
43 0 88
44 0 91
45 0 92
46 0 94
47 0 96
48 0 99
49 0 102
50 0 105
51 0 108
52 0 110
53 0 113
54 0 116
55 0 117
56 0 122
57 0 123
58 0 126
59 0 129
60 0 132
61 0 133
62 0 135
63 0 138
64 0 138
65 0 143
66 0 144
67 0 147
68 0 148
69 0 151
70 0 153
71 0 155
72 0 158
73 0 160
74 0 162
75 0 163
76 0 165
77 0 167
78 0 169
79 0 171
80 0 174
81 0 176
82 0 179
83 0 181
84 0 183
85 0 187
86 0 190
87 0 190
88 0 193
89 0 194
90 0 197
91 0 199
92 0 201
93 0 203
94 0 205
95 0 207
96 0 208
97 0 212
98 0 212
99 0 216
100 0 217
101 0 219
102 0 219
103 0 220
104 0 222
105 0 224
106 0 224
107 0 225
108 0 228
109 0 230
110 0 231
111 0 233
112 0 234
113 0 236
114 0 239
115 0 241
116 0 243
117 0 246
118 0 248
119 0 249
120 0 251
121 0 255
122 0 256
123 0 258
124 0 262
125 0 263
126 0 266
127 0 268
128 0 272
129 0 276
130 0 278
131 0 280
132 0 282
133 0 285
134 0 287
135 0 289
136 0 292
137 0 295
138 0 297
139 0 301
140 0 304
141 0 305
142 0 306
143 0 310
144 0 313
145 0 316
146 0 317
147 0 320
148 0 323
149 0 326
150 0 329
151 0 330
152 0 330
153 0 333
154 0 336
155 0 340
156 0 342
157 0 342
158 0 344
159 0 348
160 0 350
161 0 352
162 0 354
163 0 357
164 0 358
165 0 360
166 0 362
167 0 366
168 0 367
169 0 367
170 0 370
171 0 373
172 0 374
173 0 378
174 0 379
175 0 384
176 0 387
177 0 389
178 0 391
179 0 394
180 0 395
181 0 397
182 0 400
183 0 402
184 0 403
185 0 406
186 0 408
187 0 409
188 0 414
189 0 415
190 0 418
191 0 419
192 0 422
193 0 424
194 0 425
195 0 428
196 0 428
197 0 431
198 0 434
199 0 436
200 0 440
